Row Labels,no_injured,no_killed,no_incident
Virginia,74,26,117
Washington,35,18,72
West Virginia,12,9,34
Wisconsin,56,18,94
Wyoming,2,3,7
Sep,2573,1196,4790
Alabama,78,50,122
Alaska,3,6,17
Arizona,32,13,47
Arkansas,26,8,60
California,152,97,311
Colorado,24,7,69
Connecticut,43,5,74
Delaware,25,6,35
District of Columbia,27,9,74
Florida,97,60,210
Georgia,68,48,137
Hawaii,2,2,4
Idaho,5,5,19
Illinois,335,93,433
Indiana,64,39,127
Iowa,14,7,48
Kansas,34,12,56
Kentucky,35,14,59
Louisiana,86,44,142
Maine,5,1,21
Maryland,78,35,162
Massachusetts,41,15,138
Michigan,68,38,125
Minnesota,15,9,59
Mississippi,48,25,82
Missouri,66,47,137
Montana,2,4,12
Nebraska,20,6,40
Nevada,15,7,25
New Hampshire,2,4,21
New Jersey,50,25,115
New Mexico,10,7,25
New York,105,22,161
North Carolina,104,36,192
North Dakota,1,0,15
Ohio,144,53,237
Oklahoma,47,26,81
Oregon,9,9,43
Pennsylvania,119,55,209
Rhode Island,4,0,11
South Carolina,81,44,171
South Dakota,2,3,20
Tennessee,90,37,116
Texas,112,76,190
Utah,10,2,20
Vermont,0,1,4
Virginia,79,34,113
Washington,34,24,74
West Virginia,5,5,28
Wisconsin,55,20,95
Wyoming,2,1,4
Oct,2742,1305,5200
Alabama,78,43,120
Alaska,2,6,19
Arizona,31,34,66
Arkansas,37,22,77
California,156,98,316
Colorado,24,21,60
Connecticut,28,7,74
Delaware,24,4,30
District of Columbia,27,10,65
Florida,159,79,329
Georgia,100,66,190
Hawaii,2,1,5
Idaho,3,1,18
Illinois,286,81,417
Indiana,63,34,135
Iowa,14,5,51
Kansas,18,11,36
Kentucky,63,26,109
Louisiana,103,57,176
Maine,7,2,24
Maryland,116,41,163
Massachusetts,45,15,136
Michigan,49,31,100
Minnesota,27,5,46
Mississippi,59,27,93
Missouri,99,50,176
Montana,5,5,17
Nebraska,14,2,27
Nevada,7,14,24
New Hampshire,1,2,13
New Jersey,51,22,104
New Mexico,14,5,36
New York,111,37,207
North Carolina,91,44,190
North Dakota,4,1,8
Ohio,138,54,258
Oklahoma,24,18,69
Oregon,23,6,58
Pennsylvania,119,56,214
Rhode Island,7,3,19
South Carolina,59,30,147
South Dakota,3,1,14
Tennessee,98,34,147
Texas,144,100,215
Utah,12,7,23
Vermont,0,2,8
Virginia,91,33,128
Washington,43,25,93
West Virginia,18,10,37
Wisconsin,45,17,109
